Maker,Computer,Emulator,EmulatorMode,Type,URL,Licence,Title,Note
NEC,PC-8801mkIISR,ePC-8801MA,N88-V2 mode,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
NEC,PC-8801mkIISR,M88,N88-V2 mode,BIOS,http://retropc.net/cisc/m88/download.html,?,Pseudo BIOS,エミュレータ用擬似BIOS。要漢字 ROM。…スペル間違えてた？
NEC,PC-8801mkIISR,M88,N88-V2 mode,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
NEC,PC-8801mkIISR,X88000,N88-BASIC V2モード,BIOS,http://retropc.net/cisc/m88/download.html,?,Pseudo BIOS,エミュレータ用擬似BIOS。要漢字 ROM。…スペル間違えてた？
NEC,PC-8801mkIISR,X88000,N88-BASIC V2モード,FONT,https://quagma.sakura.ne.jp/manuke/x88000.html,?,Gen88Font,PC-8801エミュレータ用フォントジェネレータ
NEC,PC-9801,,,DOS,http://bauxite.sakura.ne.jp/software/dos/freedos.htm,?,FreeDOS 方面,
NEC,PC-9821,,,DOS,http://bauxite.sakura.ne.jp/software/dos/freedos.htm,?,FreeDOS 方面,
NEC,PC-98x1,,,BIOS,http://retropc.net/yui/np2tool/index.html,?,GETBIOS - PC-98x1シリーズ BIOSファイル化,BASIC、 LIO動作に必要な BIOS.ROMと 実機のフォントROM (存在すれば SOUND.ROM)を抜き出します。
NEC,PC-9801,,,FONT,http://retropc.net/yui/np2tool/index.html,?,MAKEFONT - FONT.BMP作成ツール,NP2に必要な FONT.BMPを作成します。動作: PC-98、 DOS/V (日本語環境必須)の MS-DOS 対応するエミュレータ: T98、 T98N、 NP2 
NEC,PC-9801,,,FONT,http://retropc.net/yui/np2tool/index.html,?,MAKEFONT32 - FONT.BMP作成ツール,対応するエミュレータ: T98、 T98N、 NP2 / Virtual98 / Anex86 / X1EMU、 X1R、 WinX1、 X millennium / EX68、 けろぴー 
ASCII,MSX,,,BIOS,https://cbios.sourceforge.net/,See site,C-BIOS Association,
Fujitsu,FM-7,,,BIOS,http://retropc.net/apollo/download/xm7/romset/index.htm,See site,XM7(V1/V2/V3共通) / EM-7 両用 ROM SET,バイナリ(*.ROMファイルのみを含む)。KANJI.ROMのみ含みません。同梱の、KROM.EXEを実行して自分で生成してください。
Fujitsu,FM-7,,,FONT,http://retropc.net/apollo/download/xm7/romset/index.htm,See site,XM7(V1/V2/V3共通) / EM-7 両用 ROM SET,バイナリ(*.ROMファイルのみを含む)。KANJI.ROMのみ含みません。同梱の、KROM.EXEを実行して自分で生成してください。
Fujitsu,FM TOWNS,,,BIOS,http://ysflight.in.coocan.jp/FM/towns/Tsugaru/j.html,See site,FM Towns エミュレータ「津軽」プロジェクト,
Timex Sinclair,TS1000,,,BIOS,https://github.com/cheveron/open81, GPL-2.0 license ,open81,A free firmware for the Timex TS1000 / Sinclair ZX81
Timex Sinclair,ZX81,,,BIOS,https://github.com/cheveron/open81, GPL-2.0 license ,open81,A free firmware for the Timex TS1000 / Sinclair ZX81
Open Firmware,,,,BIOS,https://openfirmware.info/Welcome_to_OpenBIOS,See site,OpenBIOS,The OpenBIOS project provides you with most free and open source Open Firmware implementations available
